,pile_sparsity,bio_sparsity
0,0.13997559,0.22899999
1,0.32505745,0.26147643
2,0.086805254,0.11207373
3,0.015510555,0.0049117077
4,0.33235675,0.60331154
5,0.16297214,0.08205511
6,0.048991095,0.021741703
7,0.19321413,0.15535593
8,0.0754488,0.055196546
9,0.07703576,0.017966198
10,0.6646632,0.6613249
11,0.2460721,0.18090865
12,0.7219697,0.6537621
13,0.13950524,0.0990074
14,0.3135143,0.3674904
15,0.21746014,0.317967
16,0.22012782,0.2813126
17,0.37911102,0.3385133
18,0.05148643,0.09206789
19,0.039814018,0.041889567
20,0.07605558,0.030618284
21,0.044291254,0.03490666
22,0.26415697,0.4556092
23,0.10086888,0.09519639
24,0.34703073,0.32713157
25,0.08697042,0.068156354
26,0.16864857,0.16754644
27,0.1835667,0.13665988
28,0.07328019,0.09087645
29,0.23506032,0.18548895
30,0.09852793,0.0875073
31,0.19446719,0.22835693
32,0.21245512,0.1712667
33,0.22255853,0.100818224
34,0.17147063,0.1870907
35,0.32408446,0.32173064
36,0.022396956,0.024550648
37,0.0828594,0.093744576
38,0.18688065,0.18859379
39,0.04054646,0.018147675
40,0.049070086,0.036749043
41,0.14178874,0.15299673
42,0.09283714,0.13536192
43,0.08149864,0.1300912
44,0.20252764,0.21424907
45,0.043074105,0.033407502
46,0.21873474,0.09744512
47,0.15370889,0.15703656
48,0.06758581,0.08818192
49,0.11879218,0.11406997
50,0.28133348,0.29874623
51,0.081911534,0.072097555
52,0.118329026,0.08467074
53,0.14389631,0.14985245
54,0.1969697,0.17991447
55,0.11204582,0.09444681
56,0.026464885,0.030851047
57,0.0713701,0.029501807
58,0.11274953,0.07072859
59,0.07214922,0.12834746
60,0.042323712,0.053342327
61,0.1233556,0.10434913
62,0.1063263,0.14565876
63,0.35747164,0.48563966
64,0.0736895,0.041597627
65,0.40887907,0.3705558
66,0.27680597,0.37341604
67,0.14063263,0.08545582
68,0.2617909,0.2730278
69,0.47101107,0.48195097
70,0.04541146,0.025998516
71,0.30006462,0.19889063
72,0.14395376,0.13637188
73,0.041652303,0.033273365
74,0.40032312,0.34816313
75,0.9983951,0.9992346
76,0.18602614,0.22374505
77,0.066354305,0.061875682
78,0.011787305,0.008852909
79,0.044826224,0.028318264
80,0.21861267,0.1770858
81,0.1915805,0.10640061
82,0.20473933,0.13939387
83,0.20020466,0.1796896
84,0.20305544,0.16966103
85,0.37995118,0.41697833
86,0.23088467,0.118437245
87,0.23841375,0.28317475
88,0.048807986,0.0345082
89,0.029545454,0.03978286
90,0.05664943,0.05812779
91,0.26101896,0.37409458
92,0.25426182,0.28597975
93,0.16445139,0.06770661
94,0.3438245,0.22822279
95,0.09130044,0.11344664
96,0.05484346,0.03523016
97,0.20596367,0.16416939
98,0.109478675,0.12616974
99,0.05459572,0.061051145
100,0.04477596,0.016952295
101,0.22224975,0.19593571
102,0.16051272,0.23437722
103,0.12519747,0.057370324
104,0.29556227,0.36026686
105,0.13549834,0.087795295
106,0.07023194,0.050036296
107,0.116584085,0.1861833
108,0.045156542,0.05390254
109,0.45503375,0.469721
110,0.04493753,0.033991385
111,0.037864428,0.027797503
112,0.144539,0.1463097
113,0.09274379,0.070902176
114,0.4622756,0.52448356
115,0.079703435,0.06760798
116,0.041914403,0.041072924
117,0.12315094,0.18395035
118,0.16477452,0.12518345
119,0.15120278,0.21095489
120,0.03877639,0.0074642175
121,0.09399325,0.033845413
122,0.10225119,0.089783646
123,0.14242424,0.1417649
124,0.27872685,0.327893
125,0.31779763,0.31686628
126,0.081315525,0.09790671
127,0.033537988,0.018735502
128,0.053572454,0.03810223
129,0.25338936,0.11365573
130,0.20257792,0.26404077
131,0.05077912,0.06750146
132,0.016203504,0.00834793
133,0.23174638,0.2524894
134,0.16338144,0.26213133
135,0.27872324,0.26330698
136,0.10906937,0.06913081
137,0.022278473,0.013725165
138,0.10336062,0.14047879
139,0.29741132,0.28655177
140,0.12165015,0.16493475
141,0.3810714,0.29453677
142,0.18966322,0.1548983
143,0.10529944,0.09987139
144,0.18175356,0.17974482
145,0.20552923,0.30835268
146,0.33609796,0.28749862
147,0.18305328,0.14870836
148,0.1716322,0.11366756
149,0.08444995,0.10051445
150,0.13909593,0.13281336
151,0.24046029,0.19877227
152,0.24242425,0.27313435
153,0.03631337,0.017090375
154,0.00671765,0.0098786475
155,0.016476376,0.0037321087
156,0.18164584,0.16118291
157,0.06870243,0.081317365
158,0.08092417,0.061189227
159,0.07091412,0.100226454
160,0.65403205,0.5708588
161,0.14917421,0.24712794
162,0.20245583,0.27601823
163,0.20762244,0.09555934
164,0.087480254,0.03976708
165,0.15800661,0.12663132
166,0.102394804,0.14965124
167,0.14171693,0.1659881
168,0.28923956,0.31156403
169,0.13129757,0.08626852
170,0.26155752,0.22243527
171,0.26445138,0.29376352
172,0.103385754,0.09061608
173,0.05035904,0.029288769
174,0.4200237,0.37231532
175,0.18637441,0.1403486
176,0.05337857,0.045160092
177,0.05585236,0.03593634
178,0.22850065,0.2945762
179,0.028450381,0.01989143
180,0.23025276,0.20132084
181,0.18317536,0.15137528
182,0.3792331,0.4359111
183,0.017722245,0.033139233
184,0.042183686,0.041045304
185,0.1366006,0.14909893
186,0.13686271,0.08158169
187,0.044844177,0.02070413
188,0.17580785,0.17228061
189,0.26923022,0.22495621
