,pile_sparsity,bio_sparsity
0,0.000692365,0.0007820626
1,0.0013917591,0.0050139343
2,0.0061153052,0.008038968
3,0.0032052633,0.0031560394
4,0.0072715897,0.013604713
5,0.0020208624,0.002909908
6,0.006284003,0.0039738305
7,0.0034055924,0.0045454907
8,0.00011246538,0.0
9,0.00036199795,1.1909582e-05
10,0.0011457411,0.0010242241
11,0.0053877947,0.00028582997
12,0.013348235,0.023628611
13,0.4148637,0.3966685
14,0.0046145953,0.007844445
15,0.001177372,0.00090909813
16,0.0010895084,0.0013457828
17,0.00059747236,0.0003850765
18,0.017326698,0.023743737
19,0.002400433,0.00050020247
20,0.0030506235,0.003275135
21,0.0036516103,0.0036086035
22,0.0016940098,0.00025010123
23,0.0,0.0
24,0.004006579,0.0033902612
25,0.0011070811,0.001314024
26,0.00012300901,0.00012703554
27,0.00020032896,0.0002421615
28,0.0018205334,0.00027789027
29,0.0031490307,0.003167949
30,0.0011492557,0.00037713678
31,0.0020032895,0.0036046337
32,0.0003514543,0.00032155873
33,0.0071907556,0.0018062866
34,0.0023898894,0.0015482457
35,0.0006818214,0.000115125964
36,0.0024812676,0.0035569952
37,0.003507514,0.0035808145
38,7.029086e-06,0.0
39,0.0008470049,0.0011790487
40,0.043095328,0.051604223
41,0.0033106997,0.00077412283
42,0.00065721956,0.00042477512
43,0.0028994982,0.0031282504
44,0.0042561116,0.006911528
45,7.380541e-05,0.0
46,0.0032228362,0.0026121684
47,0.004832497,0.003874584
48,0.0020700658,0.005021874
49,0.0027413436,0.004386696
50,0.0032966414,0.00026995054
51,0.0003830852,0.00011909582
52,7.731995e-05,0.0
53,0.0034793979,0.0038587048
54,7.0290866e-05,5.160819e-05
55,0.0034758833,0.0031361901
56,0.0008470049,0.00085352006
57,0.0076300735,0.008213642
58,0.012806996,0.0097142495
59,0.0040206374,0.002135785
60,0.00034442524,9.13068e-05
61,0.004400208,0.0034180502
62,0.0027378292,0.002798752
63,0.008614145,0.009194198
64,0.00033036707,1.5879443e-05
65,0.010733414,0.008582839
66,0.00044986152,0.0
67,0.0026113056,0.00021040262
68,0.003662154,0.0037118199
69,0.0060028397,0.0073958505
70,0.009640392,0.00036125732
71,0.0040663267,0.00399368
72,0.001261721,0.00071060506
73,0.0015182827,0.0006748763
74,0.0044986154,0.0043668468
75,2.1087259e-05,3.9698607e-06
76,0.0011070811,0.000742364
77,0.0034196505,0.002878149
78,0.0028292073,0.0031322201
79,0.0008013158,0.0008892488
80,0.0011668283,0.00062326813
81,0.00041120156,0.000484323
82,0.0028819253,0.002882119
83,0.0008962085,0.0012227171
84,0.00036199795,9.527666e-05
85,0.0003479398,0.0007780927
86,0.0004639197,6.351777e-05
87,1.0543629e-05,7.939721e-06
88,0.0006993941,0.00017467387
89,0.00037254157,7.9397214e-05
90,0.0051277187,0.003850765
91,0.0010859938,0.0004644737
92,0.0026605092,0.0024970425
93,0.0013144391,0.0022429714
94,0.0030963125,0.0031917682
95,0.005633813,0.010274
96,0.0005552978,0.0003334683
97,0.0018135043,0.002310459
98,0.0010965375,2.3819164e-05
99,0.0064140414,0.004335088
100,0.0016483207,0.0012862349
101,0.0010508484,0.0005359312
102,0.00731025,0.02566912
103,0.0033106997,0.0028622698
104,0.0015112535,0.00030567928
105,0.015302321,0.004339058
106,0.002607791,0.004108806
107,0.033964545,0.025331682
108,0.0,0.0
109,0.004445897,0.002770963
110,0.0066811466,0.0031798584
111,2.1087259e-05,3.5728746e-05
112,0.0033071851,0.0030369435
113,0.0002671053,0.0002421615
114,0.0031103706,0.002536741
115,7.731995e-05,0.0
116,0.0015007099,0.00012306568
117,0.00014409627,1.5879443e-05
118,7.731995e-05,2.7789025e-05
119,0.00030576525,5.557805e-05
120,0.000731025,0.00010321638
121,0.00092432485,0.0004644737
122,0.0009629848,0.0022945795
123,0.0020700658,0.002655837
124,0.00021438714,0.00013497527
125,3.5145433e-05,1.9849303e-05
126,0.00014761082,1.1909582e-05
127,0.004133103,0.0036602116
128,0.0008294322,0.0011869884
129,0.0058657727,0.004819411
130,0.00044283245,0.00076618313
131,0.0041717626,0.004398606
132,0.0050644567,0.005589564
133,9.489267e-05,3.9698607e-06
134,0.002860838,0.0034736283
135,0.00019681442,0.00014688485
136,0.002976818,0.0025407108
137,1.7572716e-05,3.9698607e-06
138,0.002832722,0.0030687023
139,0.00024601803,3.9698607e-05
140,0.0008716067,0.0008336708
141,0.00063964684,0.0004962326
142,0.0010367902,0.0011750788
143,0.0034829122,0.008773392
144,7.0290866e-05,0.0
145,0.0017361843,0.0010004049
146,0.003054138,0.0049782055
147,0.008993716,0.014025519
148,6.3261774e-05,2.3819164e-05
149,0.0005623269,0.0
150,0.0013917591,0.0008416105
151,3.514543e-06,0.0
